"","category","name","reviewer","review","date","ratings"
"1","Lipstick","Maybelline Super Stay Vinyl Ink Longwear Liquid Lipcolor, Captivated, 4.1 ml","Elina","No problems","Reviewed in the United Kingdom on 5 March 2023","4.4 out of 5 stars"
"2","Lipstick","Maybelline Super Stay Vinyl Ink Longwear Liquid Lipcolor, Captivated, 4.1 ml","María Alejandra Redondo Báez","No es para nada lo que esperaba. Por diferentes reseñas aquí y algunas recomendaciones, tenía muy claro que sería un acierto y nada más lejos de la realidad.Un color demasiado claro para lo que parecía que fuese a ser, sí transfiere (lo he agitado muy bien antes de utilizarlo) y me ha durado puesto apenas 2 horas...Aun también tengo algo bueno que decir y es que con otros tonos del mismo labial no me ha pasado nada parecido; tal vez haya sido defecto de formulación en alguna remesa...","Reviewed in Spain on 11 January 2024","5.0 out of 5 stars"
"3","Lipstick","Maybelline Super Stay Vinyl Ink Longwear Liquid Lipcolor, Captivated, 4.1 ml","Client d'Amazon","J ai acheter toute la gammeIls sont incroyableIls tiennent toute la journéeLes couleurs sont magnifiquesIl est agréable à portéIl faut bien le secouer avant de l appliqué","Reviewed in France on 8 February 2024","1.0 out of 5 stars"
"4","Lipstick","Maybelline Super Stay Vinyl Ink Longwear Liquid Lipcolor, Captivated, 4.1 ml","C W","Wow. Very long lasting. Won’t smudge.Very good - bought to match my works Christmas dress. Withstands eating and plenty of drinks. A product that won’t budge for sure!Even needed to use a lip scrub the next morning to remove it all","Reviewed in the United Kingdom on 4 February 2024","5.0 out of 5 stars"
"5","Lipstick","Maybelline Super Stay Vinyl Ink Longwear Liquid Lipcolor, Captivated, 4.1 ml","Murakami","Ich weiß nicht, ob ich ein „Montagsprodukt“ erhalten habe, doch das Zeugs trocknet bei mir matt und klebrig ab. Zum 16-Std-Halt kann ich nichts sagen, da ich den Lippenstift nach einer halben Stunde (immer noch pappig, wenngleich haltbar) entfernt und durch meinen geliebten Maybelline Lipglos - aufgetragen über Lipliner - ersetzt habe.Die Farbe ist super und erhält drei Sterne.","Reviewed in Germany on 7 September 2023","5.0 out of 5 stars"
"6","Lipstick","Maybelline Super Stay Vinyl Ink Longwear Liquid Lipcolor, Captivated, 4.1 ml","Katie Marks","I have these in 2 shades, they are great!Make sure you shake the tube before using it, really lovely colours and easy to use, they stay on but will also wipe off with make up remover if needed.","Reviewed in the United Kingdom on 2 February 2024","3.0 out of 5 stars"
"7","Lipstick","Maybelline Super Stay Vinyl Ink Longwear Liquid Lipcolor, Captivated, 4.1 ml","Verena Harasser","Tolle Farbe, kussecht und gutes Tagegefühl- klebt nicht","Reviewed in Germany on 6 February 2024","5.0 out of 5 stars"
"8","Lipstick","Maybelline Super Stay Vinyl Ink Longwear Liquid Lipcolor, Captivated, 4.1 ml","Anonimo","Unica pecca,tende a seccare un po le labbra nonostante non  sia un ""MAT""","Reviewed in Italy on 22 February 2024","5.0 out of 5 stars"
"9","Lipstick","Maybelline Super Stay Vinyl Ink Longwear Liquid Lipcolor, Captivated, 4.1 ml","Cliente Amazon","Me la jugué con el color y me encantó.Lo pedi este porque ya en otro sitio compré otro color de esta misma gama y me gusta muchísimo porque no se cuartean a las horas, ni se quedan pegajosos y se mantiene bastante bien el color pasadas las horas… me encanta esta edición que han sacado al mercadona y en mi opinión no son nada caros y son fáciles de llevar en cualquier sitio","Reviewed in Spain on 11 February 2024","4.0 out of 5 stars"
"10","Lipstick","Maybelline Super Stay Vinyl Ink Longwear Liquid Lipcolor, Captivated, 4.1 ml","Nina B.","Coloris qui correspond exactement à celui mentionné et présenté sur le visuel. Tenue sur une demi-journée sans retouche excessive. Semi-glossy élégant, pose pratique et précise.","Reviewed in France on 16 February 2024","5.0 out of 5 stars"
